STT,Sample_Index,True_Label_ID,True_Label_Name,Predicted_Label_ID,Predicted_Label_Name,Confidence_Score_%,Result
60,59,0,T-shirt/top,0,T-shirt/top,1000.0,Chính xác
61,60,7,Sneaker,7,Sneaker,999.99,Chính xác
62,61,7,Sneaker,7,Sneaker,999.92,Chính xác
63,62,8,Bag,8,Bag,1000.0,Chính xác
64,63,5,Sandal,5,Sandal,1000.0,Chính xác
65,64,1,Trouser,1,Trouser,1000.0,Chính xác
66,65,1,Trouser,1,Trouser,1000.0,Chính xác
67,66,2,Pullover,3,Dress,267.88,Sai (Lỗi nhầm lẫn)
68,67,3,Dress,4,Coat,519.78,Sai (Lỗi nhầm lẫn)
69,68,9,Ankle boot,7,Sneaker,997.69,Sai (Lỗi nhầm lẫn)
70,69,8,Bag,8,Bag,1000.0,Chính xác
71,70,7,Sneaker,7,Sneaker,999.7,Chính xác
72,71,0,T-shirt/top,0,T-shirt/top,999.62,Chính xác
73,72,2,Pullover,2,Pullover,895.76,Chính xác
74,73,6,Shirt,6,Shirt,923.1,Chính xác
75,74,2,Pullover,2,Pullover,809.98,Chính xác
76,75,3,Dress,3,Dress,999.13,Chính xác
77,76,1,Trouser,1,Trouser,1000.0,Chính xác
78,77,2,Pullover,2,Pullover,999.62,Chính xác
79,78,8,Bag,8,Bag,1000.0,Chính xác
80,79,4,Coat,4,Coat,799.28,Chính xác
81,80,1,Trouser,1,Trouser,1000.0,Chính xác
82,81,8,Bag,8,Bag,1000.0,Chính xác
83,82,5,Sandal,5,Sandal,1000.0,Chính xác
84,83,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
85,84,5,Sandal,5,Sandal,1000.0,Chính xác
86,85,0,T-shirt/top,0,T-shirt/top,999.96,Chính xác
87,86,3,Dress,3,Dress,999.97,Chính xác
88,87,2,Pullover,2,Pullover,998.35,Chính xác
89,88,0,T-shirt/top,0,T-shirt/top,999.91,Chính xác
90,89,6,Shirt,2,Pullover,679.28,Sai (Lỗi nhầm lẫn)
91,90,5,Sandal,5,Sandal,1000.0,Chính xác
92,91,3,Dress,3,Dress,989.99,Chính xác
93,92,6,Shirt,6,Shirt,885.16,Chính xác
94,93,7,Sneaker,7,Sneaker,1000.0,Chính xác
95,94,1,Trouser,1,Trouser,1000.0,Chính xác
96,95,8,Bag,8,Bag,1000.0,Chính xác
97,96,0,T-shirt/top,0,T-shirt/top,982.83,Chính xác
98,97,1,Trouser,1,Trouser,1000.0,Chính xác
99,98,4,Coat,2,Pullover,404.69,Sai (Lỗi nhầm lẫn)
100,99,2,Pullover,2,Pullover,890.39,Chính xác
101,100,3,Dress,3,Dress,999.52,Chính xác
102,101,6,Shirt,6,Shirt,950.07,Chính xác
103,102,7,Sneaker,7,Sneaker,1000.0,Chính xác
104,103,2,Pullover,2,Pullover,507.74,Chính xác
105,104,7,Sneaker,7,Sneaker,1000.0,Chính xác
106,105,8,Bag,8,Bag,988.51,Chính xác
107,106,5,Sandal,5,Sandal,1000.0,Chính xác
108,107,9,Ankle boot,7,Sneaker,588.57,Sai (Lỗi nhầm lẫn)
109,108,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
110,109,4,Coat,4,Coat,938.85,Chính xác
111,110,2,Pullover,2,Pullover,999.7,Chính xác
112,111,5,Sandal,5,Sandal,1000.0,Chính xác
113,112,7,Sneaker,7,Sneaker,1000.0,Chính xác
114,113,0,T-shirt/top,0,T-shirt/top,989.77,Chính xác
115,114,5,Sandal,5,Sandal,1000.0,Chính xác
116,115,2,Pullover,2,Pullover,999.58,Chính xác
117,116,8,Bag,8,Bag,1000.0,Chính xác
118,117,6,Shirt,6,Shirt,890.98,Chính xác
119,118,7,Sneaker,7,Sneaker,999.84,Chính xác
120,119,8,Bag,8,Bag,1000.0,Chính xác
121,120,0,T-shirt/top,0,T-shirt/top,913.37,Chính xác
122,121,0,T-shirt/top,0,T-shirt/top,1000.0,Chính xác
123,122,9,Ankle boot,9,Ankle boot,993.7,Chính xác
124,123,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
125,124,3,Dress,3,Dress,999.63,Chính xác
126,125,0,T-shirt/top,0,T-shirt/top,999.79,Chính xác
127,126,8,Bag,8,Bag,1000.0,Chính xác
128,127,4,Coat,6,Shirt,480.52,Sai (Lỗi nhầm lẫn)
129,128,1,Trouser,1,Trouser,1000.0,Chính xác
130,129,5,Sandal,5,Sandal,1000.0,Chính xác
131,130,4,Coat,4,Coat,984.08,Chính xác
132,131,1,Trouser,1,Trouser,1000.0,Chính xác
133,132,9,Ankle boot,9,Ankle boot,999.04,Chính xác
134,133,1,Trouser,1,Trouser,1000.0,Chính xác
135,134,8,Bag,8,Bag,1000.0,Chính xác
136,135,6,Shirt,6,Shirt,798.34,Chính xác
137,136,2,Pullover,2,Pullover,516.76,Chính xác
138,137,1,Trouser,1,Trouser,1000.0,Chính xác
139,138,2,Pullover,2,Pullover,999.99,Chính xác
140,139,5,Sandal,5,Sandal,1000.0,Chính xác
141,140,1,Trouser,1,Trouser,1000.0,Chính xác
142,141,0,T-shirt/top,6,Shirt,617.38,Sai (Lỗi nhầm lẫn)
143,142,0,T-shirt/top,0,T-shirt/top,1000.0,Chính xác
144,143,0,T-shirt/top,0,T-shirt/top,999.97,Chính xác
145,144,1,Trouser,1,Trouser,1000.0,Chính xác
146,145,6,Shirt,6,Shirt,741.81,Chính xác
147,146,1,Trouser,1,Trouser,1000.0,Chính xác
148,147,6,Shirt,3,Dress,991.4,Sai (Lỗi nhầm lẫn)
149,148,2,Pullover,2,Pullover,994.41,Chính xác
150,149,2,Pullover,2,Pullover,860.89,Chính xác
151,150,4,Coat,3,Dress,741.16,Sai (Lỗi nhầm lẫn)
152,151,4,Coat,4,Coat,888.5,Chính xác
153,152,1,Trouser,1,Trouser,1000.0,Chính xác
154,153,4,Coat,3,Dress,532.56,Sai (Lỗi nhầm lẫn)
155,154,5,Sandal,5,Sandal,1000.0,Chính xác
156,155,0,T-shirt/top,0,T-shirt/top,580.82,Chính xác
157,156,4,Coat,4,Coat,753.66,Chính xác
158,157,7,Sneaker,7,Sneaker,999.06,Chính xác
159,158,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
160,159,3,Dress,3,Dress,999.95,Chính xác
161,160,7,Sneaker,7,Sneaker,999.91,Chính xác
162,161,2,Pullover,2,Pullover,971.85,Chính xác
163,162,3,Dress,3,Dress,999.97,Chính xác
164,163,9,Ankle boot,9,Ankle boot,963.27,Chính xác
165,164,0,T-shirt/top,0,T-shirt/top,1000.0,Chính xác
166,165,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
167,166,4,Coat,4,Coat,731.7,Chính xác
168,167,7,Sneaker,7,Sneaker,940.75,Chính xác
169,168,4,Coat,4,Coat,996.95,Chính xác
170,169,2,Pullover,2,Pullover,993.18,Chính xác
171,170,0,T-shirt/top,0,T-shirt/top,989.07,Chính xác
172,171,5,Sandal,5,Sandal,1000.0,Chính xác
173,172,2,Pullover,6,Shirt,545.32,Sai (Lỗi nhầm lẫn)
174,173,1,Trouser,1,Trouser,1000.0,Chính xác
175,174,2,Pullover,2,Pullover,997.62,Chính xác
176,175,1,Trouser,1,Trouser,1000.0,Chính xác
177,176,3,Dress,3,Dress,998.31,Chính xác
178,177,0,T-shirt/top,0,T-shirt/top,998.95,Chính xác
179,178,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
180,179,1,Trouser,1,Trouser,1000.0,Chính xác
181,180,0,T-shirt/top,0,T-shirt/top,999.99,Chính xác
182,181,9,Ankle boot,9,Ankle boot,998.24,Chính xác
183,182,3,Dress,3,Dress,974.4,Chính xác
184,183,6,Shirt,6,Shirt,915.58,Chính xác
185,184,7,Sneaker,7,Sneaker,1000.0,Chính xác
186,185,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
187,186,9,Ankle boot,9,Ankle boot,999.99,Chính xác
188,187,4,Coat,4,Coat,914.48,Chính xác
189,188,4,Coat,4,Coat,924.21,Chính xác
190,189,7,Sneaker,7,Sneaker,1000.0,Chính xác
191,190,1,Trouser,1,Trouser,1000.0,Chính xác
192,191,2,Pullover,2,Pullover,998.33,Chính xác
193,192,1,Trouser,3,Dress,995.05,Sai (Lỗi nhầm lẫn)
194,193,6,Shirt,6,Shirt,931.79,Chính xác
195,194,3,Dress,3,Dress,999.58,Chính xác
196,195,2,Pullover,2,Pullover,979.45,Chính xác
197,196,8,Bag,8,Bag,1000.0,Chính xác
198,197,3,Dress,3,Dress,996.41,Chính xác
199,198,6,Shirt,6,Shirt,987.85,Chính xác
200,199,1,Trouser,1,Trouser,1000.0,Chính xác
201,200,1,Trouser,1,Trouser,1000.0,Chính xác
202,201,0,T-shirt/top,0,T-shirt/top,996.38,Chính xác
203,202,2,Pullover,2,Pullover,989.63,Chính xác
204,203,9,Ankle boot,9,Ankle boot,999.85,Chính xác
205,204,2,Pullover,2,Pullover,1000.0,Chính xác
206,205,4,Coat,4,Coat,485.12,Chính xác
207,206,0,T-shirt/top,0,T-shirt/top,999.47,Chính xác
208,207,7,Sneaker,7,Sneaker,1000.0,Chính xác
209,208,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
210,209,8,Bag,8,Bag,1000.0,Chính xác
211,210,4,Coat,4,Coat,988.06,Chính xác
212,211,1,Trouser,1,Trouser,1000.0,Chính xác
213,212,8,Bag,8,Bag,1000.0,Chính xác
214,213,4,Coat,4,Coat,948.21,Chính xác
215,214,1,Trouser,1,Trouser,1000.0,Chính xác
216,215,3,Dress,3,Dress,999.97,Chính xác
217,216,1,Trouser,1,Trouser,1000.0,Chính xác
218,217,6,Shirt,6,Shirt,1000.0,Chính xác
219,218,7,Sneaker,7,Sneaker,999.85,Chính xác
220,219,2,Pullover,2,Pullover,773.77,Chính xác
221,220,8,Bag,8,Bag,1000.0,Chính xác
222,221,5,Sandal,0,T-shirt/top,643.91,Sai (Lỗi nhầm lẫn)
223,222,2,Pullover,4,Coat,626.48,Sai (Lỗi nhầm lẫn)
224,223,0,T-shirt/top,0,T-shirt/top,999.24,Chính xác
225,224,7,Sneaker,7,Sneaker,1000.0,Chính xác
226,225,7,Sneaker,7,Sneaker,999.99,Chính xác
227,226,6,Shirt,6,Shirt,994.29,Chính xác
228,227,2,Pullover,6,Shirt,731.5,Sai (Lỗi nhầm lẫn)
229,228,7,Sneaker,7,Sneaker,1000.0,Chính xác
230,229,0,T-shirt/top,0,T-shirt/top,702.61,Chính xác
231,230,7,Sneaker,7,Sneaker,999.76,Chính xác
232,231,8,Bag,8,Bag,1000.0,Chính xác
233,232,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
234,233,2,Pullover,2,Pullover,863.73,Chính xác
235,234,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
236,235,0,T-shirt/top,0,T-shirt/top,995.74,Chính xác
237,236,5,Sandal,5,Sandal,1000.0,Chính xác
238,237,1,Trouser,1,Trouser,1000.0,Chính xác
239,238,4,Coat,4,Coat,999.88,Chính xác
240,239,4,Coat,2,Pullover,903.54,Sai (Lỗi nhầm lẫn)
241,240,5,Sandal,5,Sandal,1000.0,Chính xác
242,241,6,Shirt,4,Coat,937.96,Sai (Lỗi nhầm lẫn)
243,242,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
244,243,2,Pullover,2,Pullover,999.7,Chính xác
245,244,6,Shirt,2,Pullover,814.24,Sai (Lỗi nhầm lẫn)
246,245,8,Bag,8,Bag,998.71,Chính xác
247,246,6,Shirt,6,Shirt,992.3,Chính xác
248,247,4,Coat,4,Coat,699.17,Chính xác
249,248,2,Pullover,2,Pullover,850.18,Chính xác
250,249,2,Pullover,2,Pullover,816.06,Chính xác
251,250,9,Ankle boot,9,Ankle boot,785.68,Chính xác
252,251,7,Sneaker,7,Sneaker,1000.0,Chính xác
253,252,6,Shirt,6,Shirt,705.06,Chính xác
254,253,5,Sandal,5,Sandal,1000.0,Chính xác
255,254,5,Sandal,5,Sandal,1000.0,Chính xác
256,255,2,Pullover,4,Coat,563.47,Sai (Lỗi nhầm lẫn)
257,256,8,Bag,8,Bag,1000.0,Chính xác
258,257,5,Sandal,5,Sandal,1000.0,Chính xác
259,258,2,Pullover,2,Pullover,827.7,Chính xác
260,259,3,Dress,3,Dress,1000.0,Chính xác
261,260,0,T-shirt/top,0,T-shirt/top,999.99,Chính xác
262,261,4,Coat,4,Coat,710.72,Chính xác
263,262,8,Bag,8,Bag,999.34,Chính xác
264,263,0,T-shirt/top,0,T-shirt/top,963.72,Chính xác
265,264,0,T-shirt/top,0,T-shirt/top,999.91,Chính xác
266,265,6,Shirt,6,Shirt,999.94,Chính xác
267,266,3,Dress,3,Dress,871.65,Chính xác
268,267,8,Bag,8,Bag,1000.0,Chính xác
269,268,9,Ankle boot,9,Ankle boot,988.51,Chính xác
270,269,6,Shirt,6,Shirt,730.16,Chính xác
271,270,1,Trouser,1,Trouser,1000.0,Chính xác
272,271,3,Dress,6,Shirt,714.47,Sai (Lỗi nhầm lẫn)
273,272,0,T-shirt/top,0,T-shirt/top,999.43,Chính xác
274,273,2,Pullover,2,Pullover,972.23,Chính xác
275,274,3,Dress,3,Dress,999.76,Chính xác
276,275,0,T-shirt/top,0,T-shirt/top,1000.0,Chính xác
277,276,8,Bag,8,Bag,1000.0,Chính xác
278,277,3,Dress,3,Dress,999.31,Chính xác
279,278,7,Sneaker,7,Sneaker,1000.0,Chính xác
280,279,4,Coat,4,Coat,962.11,Chính xác
281,280,0,T-shirt/top,0,T-shirt/top,998.61,Chính xác
282,281,1,Trouser,1,Trouser,1000.0,Chính xác
283,282,6,Shirt,6,Shirt,808.77,Chính xác
284,283,3,Dress,4,Coat,698.6,Sai (Lỗi nhầm lẫn)
285,284,0,T-shirt/top,0,T-shirt/top,999.39,Chính xác
286,285,6,Shirt,6,Shirt,565.62,Chính xác
287,286,6,Shirt,0,T-shirt/top,851.2,Sai (Lỗi nhầm lẫn)
288,287,7,Sneaker,7,Sneaker,1000.0,Chính xác
289,288,5,Sandal,5,Sandal,999.99,Chính xác
290,289,4,Coat,4,Coat,940.22,Chính xác
291,290,5,Sandal,5,Sandal,999.83,Chính xác
292,291,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
293,292,5,Sandal,5,Sandal,1000.0,Chính xác
294,293,6,Shirt,6,Shirt,991.67,Chính xác
295,294,5,Sandal,5,Sandal,1000.0,Chính xác
296,295,5,Sandal,5,Sandal,1000.0,Chính xác
297,296,1,Trouser,1,Trouser,1000.0,Chính xác
298,297,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
299,298,8,Bag,8,Bag,1000.0,Chính xác
300,299,8,Bag,8,Bag,1000.0,Chính xác
301,300,3,Dress,3,Dress,1000.0,Chính xác
302,301,3,Dress,3,Dress,875.85,Chính xác
303,302,6,Shirt,6,Shirt,981.89,Chính xác
304,303,8,Bag,8,Bag,1000.0,Chính xác
305,304,0,T-shirt/top,0,T-shirt/top,938.07,Chính xác
306,305,0,T-shirt/top,0,T-shirt/top,994.83,Chính xác
307,306,2,Pullover,2,Pullover,988.9,Chính xác
308,307,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
309,308,7,Sneaker,7,Sneaker,1000.0,Chính xác
310,309,7,Sneaker,7,Sneaker,897.83,Chính xác
311,310,1,Trouser,1,Trouser,1000.0,Chính xác
312,311,3,Dress,3,Dress,930.87,Chính xác
313,312,6,Shirt,6,Shirt,998.62,Chính xác
314,313,4,Coat,6,Shirt,553.36,Sai (Lỗi nhầm lẫn)
315,314,2,Pullover,6,Shirt,923.83,Sai (Lỗi nhầm lẫn)
316,315,4,Coat,4,Coat,822.22,Chính xác
317,316,9,Ankle boot,7,Sneaker,936.15,Sai (Lỗi nhầm lẫn)
318,317,1,Trouser,1,Trouser,1000.0,Chính xác
319,318,6,Shirt,6,Shirt,999.99,Chính xác
320,319,4,Coat,4,Coat,939.85,Chính xác
321,320,8,Bag,8,Bag,999.89,Chính xác
322,321,2,Pullover,2,Pullover,885.41,Chính xác
323,322,6,Shirt,0,T-shirt/top,604.18,Sai (Lỗi nhầm lẫn)
324,323,5,Sandal,5,Sandal,1000.0,Chính xác
325,324,4,Coat,6,Shirt,998.18,Sai (Lỗi nhầm lẫn)
326,325,6,Shirt,6,Shirt,522.91,Chính xác
327,326,7,Sneaker,7,Sneaker,1000.0,Chính xác
328,327,7,Sneaker,7,Sneaker,1000.0,Chính xác
329,328,7,Sneaker,7,Sneaker,1000.0,Chính xác
330,329,3,Dress,3,Dress,999.99,Chính xác
331,330,3,Dress,3,Dress,1000.0,Chính xác
332,331,7,Sneaker,7,Sneaker,928.74,Chính xác
333,332,0,T-shirt/top,0,T-shirt/top,928.5,Chính xác
334,333,7,Sneaker,7,Sneaker,1000.0,Chính xác
335,334,1,Trouser,1,Trouser,1000.0,Chính xác
336,335,3,Dress,3,Dress,999.86,Chính xác
337,336,7,Sneaker,7,Sneaker,1000.0,Chính xác
338,337,2,Pullover,2,Pullover,996.79,Chính xác
339,338,2,Pullover,2,Pullover,997.83,Chính xác
340,339,3,Dress,3,Dress,998.86,Chính xác
341,340,4,Coat,4,Coat,994.66,Chính xác
342,341,0,T-shirt/top,0,T-shirt/top,786.76,Chính xác
343,342,3,Dress,3,Dress,1000.0,Chính xác
344,343,1,Trouser,1,Trouser,1000.0,Chính xác
345,344,6,Shirt,6,Shirt,708.54,Chính xác
346,345,1,Trouser,1,Trouser,1000.0,Chính xác
347,346,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
348,347,4,Coat,4,Coat,986.51,Chính xác
349,348,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
350,349,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
351,350,1,Trouser,1,Trouser,1000.0,Chính xác
352,351,7,Sneaker,7,Sneaker,999.92,Chính xác
353,352,8,Bag,8,Bag,999.35,Chính xác
354,353,3,Dress,3,Dress,908.31,Chính xác
355,354,6,Shirt,6,Shirt,765.2,Chính xác
356,355,0,T-shirt/top,0,T-shirt/top,948.85,Chính xác
357,356,2,Pullover,2,Pullover,958.2,Chính xác
358,357,4,Coat,4,Coat,461.73,Chính xác
359,358,8,Bag,8,Bag,1000.0,Chính xác
360,359,0,T-shirt/top,0,T-shirt/top,727.88,Chính xác
361,360,1,Trouser,1,Trouser,1000.0,Chính xác
362,361,2,Pullover,6,Shirt,995.12,Sai (Lỗi nhầm lẫn)
363,362,2,Pullover,2,Pullover,993.81,Chính xác
364,363,4,Coat,4,Coat,865.02,Chính xác
365,364,4,Coat,4,Coat,844.52,Chính xác
366,365,7,Sneaker,7,Sneaker,1000.0,Chính xác
367,366,3,Dress,3,Dress,999.99,Chính xác
368,367,2,Pullover,2,Pullover,674.75,Chính xác
369,368,2,Pullover,6,Shirt,935.28,Sai (Lỗi nhầm lẫn)
370,369,5,Sandal,5,Sandal,1000.0,Chính xác
371,370,0,T-shirt/top,0,T-shirt/top,958.1,Chính xác
372,371,7,Sneaker,7,Sneaker,1000.0,Chính xác
373,372,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
374,373,4,Coat,4,Coat,974.73,Chính xác
375,374,0,T-shirt/top,6,Shirt,733.16,Sai (Lỗi nhầm lẫn)
376,375,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
377,376,3,Dress,3,Dress,999.96,Chính xác
378,377,9,Ankle boot,9,Ankle boot,999.97,Chính xác
379,378,4,Coat,3,Dress,963.04,Sai (Lỗi nhầm lẫn)
380,379,2,Pullover,2,Pullover,566.47,Chính xác
381,380,5,Sandal,5,Sandal,1000.0,Chính xác
382,381,0,T-shirt/top,6,Shirt,897.96,Sai (Lỗi nhầm lẫn)
383,382,2,Pullover,0,T-shirt/top,986.57,Sai (Lỗi nhầm lẫn)
384,383,3,Dress,3,Dress,1000.0,Chính xác
385,384,5,Sandal,5,Sandal,1000.0,Chính xác
386,385,8,Bag,8,Bag,1000.0,Chính xác
387,386,1,Trouser,1,Trouser,1000.0,Chính xác
388,387,6,Shirt,6,Shirt,634.13,Chính xác
389,388,2,Pullover,2,Pullover,999.51,Chính xác
390,389,6,Shirt,6,Shirt,713.47,Chính xác
391,390,6,Shirt,6,Shirt,995.93,Chính xác
392,391,4,Coat,4,Coat,999.59,Chính xác
393,392,9,Ankle boot,9,Ankle boot,986.11,Chính xác
394,393,5,Sandal,5,Sandal,1000.0,Chính xác
395,394,2,Pullover,2,Pullover,562.3,Chính xác
396,395,0,T-shirt/top,0,T-shirt/top,527.5,Chính xác
397,396,4,Coat,6,Shirt,969.36,Sai (Lỗi nhầm lẫn)
398,397,6,Shirt,6,Shirt,999.41,Chính xác
399,398,1,Trouser,1,Trouser,1000.0,Chính xác
400,399,2,Pullover,2,Pullover,900.04,Chính xác
401,400,0,T-shirt/top,0,T-shirt/top,999.78,Chính xác
402,401,9,Ankle boot,9,Ankle boot,998.81,Chính xác
403,402,7,Sneaker,7,Sneaker,1000.0,Chính xác
404,403,0,T-shirt/top,0,T-shirt/top,999.91,Chính xác
405,404,4,Coat,4,Coat,424.37,Chính xác
406,405,4,Coat,4,Coat,945.72,Chính xác
407,406,6,Shirt,2,Pullover,450.0,Sai (Lỗi nhầm lẫn)
408,407,6,Shirt,6,Shirt,801.44,Chính xác
409,408,2,Pullover,2,Pullover,776.04,Chính xác
410,409,1,Trouser,1,Trouser,999.28,Chính xác
411,410,0,T-shirt/top,6,Shirt,619.66,Sai (Lỗi nhầm lẫn)
412,411,6,Shirt,6,Shirt,910.21,Chính xác
413,412,7,Sneaker,7,Sneaker,1000.0,Chính xác
414,413,2,Pullover,6,Shirt,576.58,Sai (Lỗi nhầm lẫn)
415,414,9,Ankle boot,9,Ankle boot,1000.0,Chính xác
416,415,4,Coat,4,Coat,999.03,Chính xác
417,416,2,Pullover,2,Pullover,999.26,Chính xác
418,417,1,Trouser,1,Trouser,1000.0,Chính xác
419,418,5,Sandal,5,Sandal,1000.0,Chính xác
420,419,4,Coat,2,Pullover,736.45,Sai (Lỗi nhầm lẫn)
421,420,5,Sandal,5,Sandal,1000.0,Chính xác
422,421,3,Dress,3,Dress,999.02,Chính xác
423,422,8,Bag,8,Bag,1000.0,Chính xác
424,423,5,Sandal,5,Sandal,1000.0,Chính xác
425,424,8,Bag,8,Bag,1000.0,Chính xác
426,425,4,Coat,4,Coat,859.99,Chính xác
427,426,4,Coat,4,Coat,988.44,Chính xác
428,427,8,Bag,8,Bag,1000.0,Chính xác
429,428,9,Ankle boot,9,Ankle boot,999.72,Chính xác
430,429,8,Bag,8,Bag,1000.0,Chính xác
431,430,6,Shirt,6,Shirt,1000.0,Chính xác
432,431,2,Pullover,2,Pullover,749.63,Chính xác
433,432,4,Coat,4,Coat,858.76,Chính xác
434,433,4,Coat,4,Coat,999.46,Chính xác
435,434,2,Pullover,2,Pullover,995.52,Chính xác
436,435,4,Coat,4,Coat,991.99,Chính xác
437,436,1,Trouser,1,Trouser,1000.0,Chính xác
438,437,6,Shirt,6,Shirt,827.2,Chính xác
439,438,1,Trouser,1,Trouser,1000.0,Chính xác
440,439,3,Dress,3,Dress,996.68,Chính xác
441,440,0,T-shirt/top,0,T-shirt/top,999.94,Chính xác
442,441,9,Ankle boot,7,Sneaker,985.86,Sai (Lỗi nhầm lẫn)
443,442,8,Bag,8,Bag,1000.0,Chính xác
444,443,8,Bag,8,Bag,1000.0,Chính xác
445,444,6,Shirt,4,Coat,775.78,Sai (Lỗi nhầm lẫn)
446,445,5,Sandal,5,Sandal,1000.0,Chính xác
447,446,3,Dress,3,Dress,986.37,Chính xác
448,447,1,Trouser,1,Trouser,1000.0,Chính xác
449,448,9,Ankle boot,9,Ankle boot,999.87,Chính xác
450,449,5,Sandal,5,Sandal,1000.0,Chính xác
451,450,3,Dress,3,Dress,999.75,Chính xác
452,451,3,Dress,3,Dress,999.74,Chính xác
453,452,0,T-shirt/top,0,T-shirt/top,924.18,Chính xác
454,453,1,Trouser,1,Trouser,1000.0,Chính xác
455,454,0,T-shirt/top,2,Pullover,688.44,Sai (Lỗi nhầm lẫn)
